Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.30-10.10.10.10-45320-80-6,10.10.10.30,45320,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60010179,10,10,175.0,0.0,88.0,0.0,17.5,25.49182875615897,0.0,0.0,0.0,0.0,2.9161719380973685,0.3332767929254135,3158430.473684211,4713535.984063395,1.0097319E7,16.0,5.0902206E7,5655800.666666667,5227457.824722477,1.0097366E7,125.0,6.0010149E7,6667794.333333333,4864693.528546351,1.0097374E7,216.0,0,0,0,0,328,328,0.16663839646270676,0.16663839646270676,0.0,88.0,8.333333333333332,19.303712941642427,372.6333333333334,1,2,0,8,19,0,0,0,1.0,8.75,17.5,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,99365.83333333333,243258.41821438918,595915.0,47.0,9902330.666666668,389966.3993877766,1.0097319E7,9107920.0,NeedManualLabel
10.10.10.30-10.10.10.10-45332-80-6,10.10.10.30,45332,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60009743,10,10,173.0,0.0,88.0,0.0,17.3,25.55190795224497,0.0,0.0,0.0,0.0,2.8828652040719454,0.3332792143435775,3158407.5263157897,4713521.387390234,1.0097275E7,17.0,5.0901704E7,5655744.888888889,5227518.870999808,1.0097366E7,168.0,6.0009726E7,6667747.333333333,4864765.587870499,1.0097408E7,237.0,0,0,0,0,328,328,0.16663960717178875,0.16663960717178875,0.0,88.0,8.238095238095237,19.292238755273484,372.1904761904762,1,2,0,8,19,0,0,0,1.0,8.65,17.3,0.0,0,0,0,0,0,0,1,28,1,0,64240,128,8,32,99331.16666666667,243048.08908890167,595451.0,91.0,9902292.666666666,389937.90557608835,1.0097275E7,9107940.0,NeedManualLabel
10.10.10.30-10.10.10.10-45338-80-6,10.10.10.30,45338,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60009179,10,10,173.0,0.0,88.0,0.0,17.3,25.551907952244978,0.0,0.0,0.0,0.0,2.8828922988598125,0.3332823466889957,3158377.842105263,4713513.9246834405,1.0097245E7,11.0,5.0901107E7,5655678.555555556,5227549.049835045,1.0097366E7,131.0,6.000916E7,6667684.444444444,4864837.979139159,1.0097401E7,224.0,0,0,0,0,328,328,0.16664117334449785,0.16664117334449785,0.0,88.0,8.238095238095237,19.292238755273484,372.19047619047615,1,2,0,8,19,0,0,0,1.0,8.65,17.3,0.0,0,0,0,0,0,0,1,28,1,0,64240,128,8,32,99273.83333333333,242834.16712185845,594957.0,121.0,9902256.0,389917.1861983,1.0097245E7,9107945.0,NeedManualLabel
10.10.10.30-10.10.10.10-45352-80-6,10.10.10.30,45352,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60009083,10,10,173.0,0.0,88.0,0.0,17.3,25.50838642050449,0.0,0.0,0.0,0.0,2.882896910789322,0.3332828798600372,3158372.789473684,4713528.341959823,1.0097221E7,0.0,5.0900673E7,5655630.333333333,5227597.8740339475,1.0097367E7,0.0,6.0009068E7,6667674.222222222,4864905.332333656,1.0097388E7,268.0,0,0,0,0,328,328,0.1666414399300186,0.1666414399300186,0.0,88.0,8.238095238095237,19.266304165316093,371.19047619047626,1,2,0,8,19,0,0,0,1.0,8.65,17.3,0.0,0,0,0,0,0,0,1,28,1,0,64240,128,8,32,99230.66666666666,242677.48111736012,594594.0,146.0,9902283.166666668,389777.72011310083,1.0097221E7,9108257.0,NeedManualLabel
10.10.10.30-10.10.10.10-45364-80-6,10.10.10.30,45364,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60008728,10,10,172.0,0.0,88.0,0.0,17.2,25.537771589897538,0.0,0.0,0.0,0.0,2.866249722873646,0.3332848514969356,3158354.105263158,4713541.1534143705,1.0097197E7,20.0,5.0900148E7,5655572.0,5227662.327485226,1.0097367E7,181.0,6.0008707E7,6667634.111111111,4864991.180697645,1.0097378E7,286.0,0,0,0,0,328,328,0.1666424257484678,0.1666424257484678,0.0,88.0,8.19047619047619,19.260371355763233,370.9619047619048,1,2,0,8,19,0,0,0,1.0,8.6,17.2,0.0,0,0,0,0,0,0,1,28,1,0,64240,128,8,32,99165.33333333334,242471.3972003021,594108.0,165.0,9902289.333333334,389710.1146414686,1.0097197E7,9108401.0,NeedManualLabel
10.10.10.30-10.10.10.10-45380-80-6,10.10.10.30,45380,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60008071,10,10,173.0,0.0,88.0,0.0,17.3,25.50838642050449,0.0,0.0,0.0,0.0,2.8829455291105757,0.3332885004752111,3158319.526315789,4713556.126147957,1.0097176E7,14.0,5.0899303E7,5655478.111111111,5227765.340769094,1.0097367E7,153.0,6.0008049E7,6667561.0,4865107.030929895,1.0097369E7,233.0,0,0,0,0,328,328,0.16664425023760554,0.16664425023760554,0.0,88.0,8.238095238095237,19.266304165316093,371.19047619047626,1,2,0,8,19,0,0,0,1.0,8.65,17.3,0.0,0,0,0,0,0,0,1,28,1,0,64240,128,8,32,99058.83333333334,242168.8851156702,593384.0,187.0,9902286.333333334,389626.51458578464,1.0097176E7,9108568.0,NeedManualLabel
10.10.10.30-10.10.10.10-45394-80-6,10.10.10.30,45394,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60007583,10,10,174.0,0.0,88.0,0.0,17.4,25.522103709878184,0.0,0.0,0.0,0.0,2.899633534648446,0.3332912108791317,3158293.842105263,4713582.7208259925,1.0097081E7,10.0,5.0898703E7,5655411.444444444,5227837.693047794,1.0097095E7,145.0,6.0007567E7,6667507.444444444,4865190.098936991,1.0097287E7,331.0,0,0,0,0,328,328,0.16664560543956586,0.16664560543956586,0.0,88.0,8.285714285714285,19.29803839032055,372.4142857142857,1,2,0,8,19,0,0,0,1.0,8.7,17.4,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,98958.16666666666,241958.08017292307,592853.0,14.0,9902305.666666666,389591.80206604244,1.0097081E7,9108658.0,NeedManualLabel
10.10.10.30-10.10.10.10-45430-80-6,10.10.10.30,45430,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60004227,10,10,174.0,0.0,88.0,0.0,17.4,25.478531267629137,0.0,0.0,0.0,0.0,2.8997957093922735,0.3333098516542843,3158117.210526316,4713738.81406392,1.0097016E7,26.0,5.0895868E7,5655096.444444444,5228230.865075636,1.0097179E7,247.0,6.0004201E7,6667133.444444445,4865702.958901779,1.0097063E7,325.0,0,0,0,0,328,328,0.16665492582714214,0.16665492582714214,0.0,88.0,8.285714285714285,19.272111604966533,371.4142857142857,1,2,0,8,19,0,0,0,1.0,8.7,17.4,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,98328.5,240659.18705650943,589572.0,35.0,9902376.0,389802.64798638795,1.0097016E7,9108283.0,NeedManualLabel
10.10.10.30-10.10.10.10-45404-80-6,10.10.10.30,45404,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60006646,10,10,172.0,0.0,88.0,0.0,17.2,25.49858383867186,0.0,0.0,0.0,0.0,2.866349170723523,0.3332964152004096,3158244.5263157897,4713650.765278312,1.009691E7,24.0,5.0897602E7,5655289.111111111,5227872.409226827,1.0096935E7,241.0,6.0006614E7,6667401.555555556,4865340.284322107,1.0097135E7,293.0,0,0,0,0,328,328,0.1666482076002048,0.1666482076002048,0.0,88.0,8.19047619047619,19.23699313203352,370.0619047619047,1,2,0,8,19,0,0,0,1.0,8.6,17.2,0.0,0,0,0,0,0,0,1,28,1,0,64240,128,8,32,98743.66666666666,241586.01039602162,591879.0,25.0,9902364.0,389559.5118813042,1.009691E7,9108784.0,NeedManualLabel
10.10.10.30-10.10.10.10-45454-80-6,10.10.10.30,45454,10.10.10.10,80,6,31/08/2026 11:50:10 PM,60002232,10,10,175.0,0.0,88.0,0.0,17.5,25.49182875615897,0.0,0.0,0.0,0.0,2.9165581707027166,0.33332093379459615,3158012.210526316,4713796.75322483,1.0096722E7,10.0,5.0894023E7,5654891.444444444,5228501.929507368,1.009689E7,165.0,6.000222E7,6666913.333333333,4866015.179011801,1.0096806E7,256.0,0,0,0,0,328,328,0.16666046689729808,0.16666046689729808,0.0,88.0,8.333333333333332,19.303712941642427,372.6333333333334,1,2,0,8,19,0,0,0,1.0,8.75,17.5,0.0,0,0,0,0,0,0,1,29,1,0,64240,128,8,32,98003.16666666667,239848.08183049262,587591.0,16.0,9902368.833333334,389837.00058892136,1.0096722E7,9108193.0,NeedManualLabel
