Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.6-10.10.10.10-36300-80-6,10.10.10.6,36300,10.10.10.10,80,6,31/08/2026 11:12:19 PM,19199,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,53856.97171727694,468.77441533413196,2399.875,3496.335037782931,10659.0,116.0,18773.0,4693.25,4050.9651833441703,10659.0,1619.0,19083.0,6361.0,5577.106866467595,12497.0,1600.0,0,0,0,0,168,136,260.4302307411844,208.34418459294753,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36312-80-6,10.10.10.6,36312,10.10.10.10,80,6,31/08/2026 11:12:20 PM,19109,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,54110.62849965984,470.9822596682191,2388.625,3735.282163275716,11411.0,67.0,18028.0,4507.0,4778.410684178021,11411.0,594.0,18981.0,6327.0,6687.900193633275,14039.0,2122.0,0,0,0,0,168,136,261.6568109267884,209.32544874143073,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36322-80-6,10.10.10.6,36322,10.10.10.10,80,6,31/08/2026 11:12:20 PM,15426,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,67029.69013354077,583.4305717619603,1928.25,2375.2302595147034,7565.0,115.0,14408.0,3602.0,2743.147219284205,7565.0,1598.0,15311.0,5103.666666666666,4364.08207224994,10030.0,1722.0,0,0,0,0,168,136,324.12809542331127,259.302476338649,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36326-80-6,10.10.10.6,36326,10.10.10.10,80,6,31/08/2026 11:12:20 PM,17875,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,57846.15384615385,503.4965034965035,2234.375,2280.252989566853,6207.0,128.0,17543.0,4385.75,1739.370264396476,6207.0,2134.0,17747.0,5915.666666666667,3280.8118405866153,8658.0,2281.0,0,0,0,0,168,136,279.72027972027973,223.7762237762238,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36342-80-6,10.10.10.6,36342,10.10.10.10,80,6,31/08/2026 11:12:20 PM,17279,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,59841.42600844957,520.8634758955958,2159.875,2427.730064866591,7253.0,121.0,16891.0,4222.75,2374.0211140594347,7253.0,1487.0,17158.0,5719.333333333334,4598.289500818031,10477.0,1299.0,0,0,0,0,168,136,289.36859771977544,231.49487817582036,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36344-80-6,10.10.10.6,36344,10.10.10.10,80,6,31/08/2026 11:12:20 PM,16488,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,62712.27559437167,545.8515283842795,2061.0,2702.338193913877,8443.0,134.0,15966.0,3991.5,3051.1714143915287,8443.0,1513.0,16171.0,5390.333333333334,4739.994338955832,10604.0,1341.0,0,0,0,0,168,136,303.2508491023775,242.600679281902,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36352-80-6,10.10.10.6,36352,10.10.10.10,80,6,31/08/2026 11:12:20 PM,16815,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,61492.714837942316,535.236396074933,2101.875,2502.3108998055604,7698.0,132.0,15974.0,3993.5,2500.2829839840133,7698.0,2217.0,16497.0,5499.0,4675.232935373381,9976.0,648.0,0,0,0,0,168,136,297.3535533749628,237.88284269997027,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36360-80-6,10.10.10.6,36360,10.10.10.10,80,6,31/08/2026 11:12:20 PM,16507,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,62640.09208214696,545.2232386260374,2063.375,2128.7624129325204,6173.0,118.0,16147.0,4036.75,1864.9418891751025,6173.0,1631.0,16389.0,5463.0,2845.9429017462735,8192.0,2513.0,0,0,0,0,168,136,302.90179923668745,242.32143938934996,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36370-80-6,10.10.10.6,36370,10.10.10.10,80,6,31/08/2026 11:12:20 PM,12518,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,82601.05448154657,718.964690845183,1564.75,1435.76925623265,4648.0,125.0,11886.0,2971.5,1197.3463714954555,4648.0,2102.0,12212.0,4070.666666666667,2564.6657352047528,6652.0,1523.0,0,0,0,0,168,136,399.4248282473239,319.5398625978591,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36384-80-6,10.10.10.6,36384,10.10.10.10,80,6,31/08/2026 11:12:21 PM,24858,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,41596.26679539786,362.0564808110065,3107.25,4978.908306905383,15169.0,107.0,24366.0,6091.5,6180.2625888117955,15169.0,1809.0,24609.0,8203.0,8249.264391447276,17682.0,2650.0,0,0,0,0,168,136,201.14248933944805,160.91399147155843,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36392-80-6,10.10.10.6,36392,10.10.10.10,80,6,31/08/2026 11:12:21 PM,24348,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,42467.55380318712,369.64021685559385,3043.4999999999995,5337.449658511344,16125.0,115.0,23357.0,5839.25,6882.41161100768,16125.0,1939.0,24233.0,8077.666666666667,9488.007026416735,18923.0,1311.0,0,0,0,0,168,136,205.3556760308855,164.2845408247084,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36396-80-6,10.10.10.6,36396,10.10.10.10,80,6,31/08/2026 11:12:21 PM,9774,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,105790.87374667486,920.8103130755064,1221.7499999999998,2139.8216047138135,6423.0,55.0,9596.0,2399.0,2701.2398387900816,6423.0,611.0,9719.0,3239.666666666667,3413.01953310164,7110.0,661.0,0,0,0,0,168,136,511.56128504194805,409.24902803355843,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.10.10.6-10.10.10.10-36400-80-6,10.10.10.6,36400,10.10.10.10,80,6,31/08/2026 11:12:21 PM,18857,5,4,172.0,862.0,172.0,0.0,34.4,76.92073842599277,862.0,0.0,215.5,431.0,54833.748740520765,477.27634300259854,2357.1250000000005,2959.8468800888045,9297.0,126.0,18104.0,4526.0,3299.351249362012,9297.0,2027.0,18700.0,6233.333333333334,5501.023934990043,12351.0,1694.0,0,0,0,0,168,136,265.1535238903325,212.12281911226603,0.0,862.0,103.39999999999999,271.9706683531231,73968.04444444446,2,2,0,2,8,0,0,0,0.0,114.88888888888889,34.4,215.5,0,0,0,0,0,0,0,0,0,0,64240,127,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
